,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03
FH_CU_nochange,,,,,,,,,,,,,,,,,,,41.0,42.0,20.0,65.0,4.0,13.0,144.0,177.0,168.0,149.0,119.0,121.0,197.0,172.0,142.0,,3.0,31.0,250.0,76.0,43.0,29.0,30.0,6.0,11.0,3.0,,2.0,1.0,2.0,7.0,5.0,,,5.0,13.0
FH_CU_scenario_high,,,,,,,,,,,,,,,,,,,36.0,30.0,35.0,55.0,12.0,14.0,144.0,174.0,163.0,142.0,115.0,116.0,197.0,147.0,142.0,,5.0,32.0,252.0,75.0,43.0,29.0,30.0,6.0,11.0,3.0,,2.0,1.0,2.0,7.0,5.0,,,5.0,13.0
FH_CU_scenario_low,,,,,,,,,,,,,,,,,,,55.0,62.0,0.0,84.0,11.0,8.0,142.0,169.0,159.0,149.0,110.0,111.0,197.0,200.0,142.0,,10.0,30.0,251.0,70.0,41.0,29.0,30.0,6.0,11.0,3.0,,2.0,4.0,2.0,2.0,5.0,,,5.0,13.0
FH_CU_scenario_mid,,,,,,,,,,,,,,,,,,,39.0,40.0,29.0,61.0,10.0,30.0,121.0,163.0,156.0,134.0,105.0,105.0,197.0,137.0,142.0,,7.0,36.0,255.0,73.0,41.0,29.0,30.0,6.0,11.0,3.0,,2.0,2.0,2.0,7.0,5.0,,,5.0,13.0
FH_CU_select,,,,,,15.0,55.0,26.0,64.0,8.0,1.0,53.0,143.0,16.0,23.0,6.0,20.0,4.0,39.0,40.0,29.0,61.0,10.0,30.0,142.0,169.0,159.0,149.0,110.0,111.0,197.0,137.0,142.0,,7.0,30.0,255.0,73.0,41.0,29.0,30.0,6.0,11.0,3.0,,2.0,2.0,2.0,7.0,5.0,,,5.0,13.0
FH_DDS_NBDS,,,,,,,,,20.0,15.0,91.0,56.0,139.0,11.0,0.0,7.0,6.0,17.0,6.0,65.0,90.0,26.0,58.0,18.0,158.0,110.0,138.0,134.0,21.0,101.0,19.0,17.0,212.0,,458.0,254.0,416.0,,80.0,38.0,19.0,683.0,57.0,46.0,,4.0,7.0,3.0,7.0,10.0,,1.0,0.0,8.0
FH_epiforecasts_ensemble1,,,,,,,,,,,,,,,,,,,17.0,19.0,39.0,62.0,14.0,36.0,212.0,115.0,134.0,85.0,201.0,,,28.0,150.0,133.0,132.0,96.0,295.0,18.0,64.0,45.0,26.0,107.0,10.0,6.0,,1.0,4.0,3.0,18.0,10.0,14.0,9.0,1.0,5.0
FH_FAIR_NRAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_FDANIHASU_Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Geneva_DetGrowth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Google_Harvard_CPF,,,,,,,,,,,,,,,,,,,10.0,42.0,29.0,4.0,71.0,36.0,1.0,4.0,4.0,68.0,1.0,201.0,25.0,46.0,306.0,,81.0,94.0,283.0,32.0,5.0,8.0,20.0,18.0,13.0,17.0,,15.0,11.0,4.0,23.0,0.0,,,13.0,11.0
FH_GT_CHHS_COVID19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_GT_DeepCOVID,,,,,,,50.0,5.0,35.0,39.0,51.0,22.0,144.0,52.0,87.0,,,,,15.0,33.0,70.0,0.0,41.0,234.0,34.0,100.0,73.0,33.0,8.0,55.0,68.0,127.0,,172.0,51.0,230.0,99.0,,,22.0,102.0,18.0,47.0,,52.0,7.0,34.0,16.0,9.0,,9.0,13.0,2.0
FH_IBF_TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_IEM_MED_CovidProject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,11.0,,13.0,9.0,2.0,7.0,0.0,16.0,11.0,16.0,15.0
FH_IHME_CurveFit,,,,,,30.0,,41.0,29.0,53.0,30.0,,157.0,31.0,105.0,,70.0,28.0,,,88.0,7.0,,,,182.0,,108.0,130.0,,,,,25.0,96.0,137.0,276.0,66.0,25.0,,,45.0,43.0,11.0,,,16.0,10.0,,47.0,,53.0,40.0,14.0
FH_IowaStateLW_STEM,,,,,,57.0,6.0,34.0,30.0,43.0,,26.0,146.0,23.0,44.0,13.0,22.0,46.0,3.0,18.0,59.0,57.0,29.0,27.0,150.0,94.0,78.0,100.0,18.0,61.0,72.0,5.0,93.0,,198.0,,376.0,39.0,27.0,16.0,44.0,47.0,22.0,18.0,,1.0,6.0,0.0,,,,,,
FH_IQVIA_ACOE_STAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_IUPUI_HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.0,,,77.0,45.0,10.0,,6.0,7.0,,,5.0,,,,
FH_JCB_PRM,,,,,,,,,6.0,34.0,44.0,52.0,175.0,32.0,48.0,21.0,20.0,28.0,36.0,26.0,83.0,10.0,67.0,7.0,95.0,24.0,46.0,59.0,2.0,118.0,145.0,,,,,,,,,,,,,,,,,,,,,,,
FH_JHU_CSSE_DECOM,,,,,,,,,,,,,,,,,,,6.0,,59.0,2.0,53.0,25.0,79.0,37.0,35.0,78.0,2.0,16.0,5.0,,75.0,,158.0,167.0,321.0,7.0,72.0,19.0,12.0,51.0,29.0,10.0,,11.0,14.0,3.0,4.0,12.0,,12.0,8.0,4.0
FH_JHU_IDD_CovidSP,,,,,,1.0,79.0,92.0,71.0,54.0,38.0,37.0,108.0,3.0,28.0,64.0,46.0,32.0,56.0,74.0,18.0,113.0,51.0,114.0,176.0,164.0,139.0,174.0,158.0,38.0,47.0,59.0,13.0,,118.0,110.0,265.0,22.0,24.0,5.0,8.0,20.0,7.0,15.0,,43.0,28.0,11.0,6.0,7.0,1.0,0.0,1.0,7.0
FH_JHU_UNC_GAS_StatMechPool,,,,,,,,,,,,,,,,,,,,,,45.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_JHUAPL_Bucky,,,,,,,,,,,,,,55.0,9.0,98.0,55.0,50.0,15.0,51.0,28.0,9.0,9.0,50.0,11.0,66.0,101.0,93.0,149.0,103.0,92.0,43.0,71.0,,36.0,24.0,222.0,98.0,41.0,44.0,126.0,10.0,28.0,11.0,,18.0,30.0,21.0,4.0,9.0,,3.0,4.0,13.0
FH_JHUAPL_Gecko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_JHUAPL_SLPHospEns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_Karlen_pypm,,,,,,,,46.0,34.0,58.0,39.0,12.0,169.0,59.0,60.0,79.0,51.0,23.0,6.0,35.0,85.0,11.0,45.0,11.0,69.0,50.0,22.0,8.0,59.0,53.0,84.0,26.0,115.0,131.0,113.0,80.0,242.0,68.0,24.0,27.0,26.0,9.0,4.0,2.0,,9.0,16.0,7.0,14.0,9.0,10.0,9.0,1.0,7.0
FH_LANL_GrowthRate,,,,,,34.0,56.0,46.0,54.0,73.0,76.0,68.0,173.0,52.0,55.0,80.0,95.0,75.0,78.0,71.0,23.0,115.0,0.0,13.0,195.0,125.0,160.0,103.0,36.0,266.0,,48.0,22.0,,62.0,84.0,262.0,102.0,69.0,46.0,34.0,79.0,51.0,8.0,,28.0,10.0,7.0,11.0,9.0,11.0,10.0,,1.0
FH_LNQ_ens1,,,,,,,,18.0,30.0,45.0,35.0,47.0,166.0,13.0,30.0,76.0,11.0,27.0,26.0,47.0,43.0,67.0,20.0,16.0,147.0,73.0,131.0,66.0,18.0,55.0,57.0,14.0,138.0,,160.0,120.0,296.0,61.0,32.0,19.0,14.0,56.0,13.0,10.0,,9.0,18.0,8.0,2.0,4.0,,2.0,9.0,14.0
FH_Microsoft_DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,49.0,110.0,36.0,8.0,76.0,,208.0,213.0,378.0,49.0,9.0,50.0,25.0,100.0,110.0,6.0,,2.0,12.0,6.0,,0.0,14.0,11.0,1.0,5.0
FH_MIT_CritData_GBCF,,,,,,,,,,,,,,,,,,,62.0,82.0,4.0,87.0,5.0,57.0,172.0,105.0,38.0,74.0,97.0,90.0,80.0,107.0,60.0,46.0,162.0,155.0,341.0,69.0,83.0,52.0,59.0,80.0,51.0,63.0,,37.0,15.0,26.0,27.0,20.0,17.0,16.0,14.0,13.0
FH_MIT_ISOLAT_Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,29.0,303.0,453.0,89.0,,34.0,9.0,1.0,16.0,25.0,,18.0,5.0,,5.0,,,,,12.0
FH_MITCovAlliance_SIR,,,,,,23.0,63.0,42.0,53.0,70.0,,69.0,,,48.0,73.0,64.0,8.0,,,7.0,,,,,,,,,,,128.0,63.0,,,,,,,,,33.0,13.0,20.0,,,5.0,,,,,,,
FH_MOBS_GLEAM_COVID,,,,,,7.0,29.0,10.0,18.0,32.0,27.0,3.0,143.0,12.0,15.0,64.0,1.0,64.0,31.0,19.0,60.0,55.0,28.0,30.0,180.0,149.0,141.0,125.0,46.0,33.0,57.0,5.0,79.0,126.0,134.0,121.0,265.0,48.0,23.0,22.0,3.0,55.0,1.0,11.0,,12.0,17.0,3.0,2.0,8.0,11.0,4.0,8.0,7.0
FH_MSRA_DeepST,,,,,,,,,,,,,,,,,,,,,47.0,,26.0,33.0,191.0,114.0,99.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_NotreDame_FRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_NotreDame_mobility,,,,,,,,,,,,,,,,,,,81.0,125.0,34.0,116.0,62.0,154.0,272.0,212.0,218.0,136.0,213.0,,,,,,,,,,,,,,,,,,,,,,,,,
FH_OliverWyman_Navigator,,,,,,11.0,18.0,14.0,23.0,34.0,24.0,47.0,112.0,16.0,4.0,70.0,66.0,48.0,42.0,19.0,107.0,1.0,66.0,30.0,61.0,19.0,86.0,7.0,42.0,44.0,66.0,93.0,169.0,116.0,92.0,88.0,286.0,73.0,54.0,21.0,,44.0,9.0,3.0,,13.0,5.0,7.0,17.0,7.0,10.0,12.0,8.0,6.0
FH_OneQuietNight_ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_PandemicCentral_USCounty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_PSI_DRAFT,,,,,,14.0,64.0,5.0,36.0,36.0,34.0,2.0,82.0,4.0,40.0,17.0,61.0,107.0,61.0,64.0,4.0,96.0,2.0,68.0,191.0,52.0,149.0,193.0,77.0,21.0,134.0,103.0,101.0,19.0,117.0,115.0,319.0,78.0,13.0,1.0,36.0,17.0,27.0,7.0,,13.0,25.0,19.0,10.0,20.0,,11.0,13.0,7.0
FH_QJHong_Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_RobertWalraven_ESG,,,,,,55.0,49.0,,,68.0,82.0,72.0,180.0,70.0,89.0,101.0,105.0,49.0,71.0,105.0,31.0,146.0,19.0,14.0,,118.0,23.0,37.0,76.0,22.0,89.0,98.0,52.0,4.0,122.0,104.0,216.0,55.0,35.0,44.0,34.0,22.0,7.0,13.0,,7.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,12.0
FH_RPI_UW_Mob_Collision,,,,,,,,,,,,,,,,,29.0,91.0,8.0,12.0,69.0,54.0,94.0,64.0,57.0,75.0,92.0,40.0,83.0,22.0,30.0,18.0,377.0,351.0,330.0,257.0,418.0,71.0,51.0,1.0,51.0,20.0,5.0,17.0,,,,,,,,,,
FH_SigSci_TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,,51.0,36.0,24.0,48.0,15.0,23.0,13.0,,15.0,,,,,,,,
FH_SteveMcConnell_CovidComplete,,,,,,,,,,,,,146.0,29.0,30.0,59.0,13.0,26.0,1.0,21.0,42.0,46.0,35.0,8.0,198.0,25.0,151.0,33.0,64.0,3.0,83.0,39.0,42.0,68.0,155.0,135.0,296.0,,2.0,8.0,9.0,56.0,25.0,18.0,,2.0,12.0,4.0,6.0,4.0,8.0,7.0,1.0,5.0
FH_TTU_squider,,,,,,,,,,,,,,,,,,,48.0,62.0,13.0,103.0,5.0,34.0,86.0,66.0,33.0,17.0,1.0,5.0,20.0,21.0,66.0,122.0,204.0,223.0,396.0,87.0,147.0,124.0,112.0,124.0,34.0,30.0,,6.0,14.0,15.0,8.0,13.0,12.0,13.0,2.0,4.0
FH_UA_EpiCovDA,,,,,,,,,,,,,,,,,,,44.0,6.0,64.0,14.0,66.0,33.0,88.0,65.0,178.0,88.0,81.0,77.0,195.0,14.0,152.0,123.0,11.0,32.0,231.0,53.0,60.0,26.0,36.0,8.0,9.0,6.0,,2.0,12.0,8.0,7.0,1.0,2.0,3.0,12.0,11.0
FH_UCF_AEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_UChicagoCHATTOPADHYAY_UnIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_UCLA_SuEIR,,,,,,38.0,55.0,43.0,45.0,56.0,63.0,64.0,154.0,37.0,42.0,80.0,27.0,38.0,46.0,53.0,11.0,103.0,23.0,77.0,241.0,33.0,97.0,43.0,42.0,39.0,43.0,23.0,56.0,,183.0,218.0,363.0,,120.0,120.0,120.0,282.0,157.0,156.0,,,,,199.0,131.0,,,114.0,169.0
FH_UCM_MESALab_FoGSEIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_UCSB_ACTS,,,,,,,,,,,,,,,,,,,,,,42.0,2.0,64.0,133.0,40.0,36.0,111.0,,65.0,45.0,37.0,180.0,,113.0,,,,,,,,,,,,,,,,,,,
FH_UCSD_NEU_DeepGLEAM,,,,,,,,,,,,,,,36.0,81.0,140.0,68.0,33.0,24.0,64.0,51.0,33.0,23.0,175.0,142.0,135.0,114.0,32.0,47.0,19.0,16.0,92.0,,140.0,131.0,277.0,35.0,28.0,26.0,6.0,56.0,3.0,8.0,,19.0,22.0,1.0,4.0,13.0,,1.0,11.0,9.0
FH_UMass_MechBayes,,,,,,33.0,32.0,24.0,36.0,64.0,70.0,76.0,160.0,9.0,54.0,56.0,96.0,42.0,46.0,19.0,11.0,92.0,56.0,34.0,147.0,50.0,168.0,122.0,97.0,23.0,146.0,87.0,122.0,25.0,62.0,39.0,216.0,99.0,56.0,39.0,9.0,8.0,8.0,11.0,,11.0,14.0,10.0,10.0,5.0,9.0,2.0,11.0,11.0
FH_UMich_RidgeTfReg,,,,,,,,14.0,,,23.0,,160.0,41.0,46.0,78.0,54.0,52.0,5.0,26.0,39.0,77.0,9.0,,,,,,,11.0,138.0,56.0,143.0,,203.0,211.0,333.0,13.0,60.0,,51.0,20.0,55.0,6.0,,102.0,28.0,40.0,20.0,21.0,,39.0,15.0,6.0
FH_UpstateSU_GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_UT_Mobility,,,,,,14.0,26.0,2.0,11.0,8.0,,4.0,132.0,,,107.0,81.0,91.0,123.0,70.0,155.0,2.0,194.0,18.0,67.0,81.0,51.0,99.0,205.0,336.0,,,243.0,,350.0,,,,,,,,113.0,,,69.0,,63.0,,,,,,
FH_UVA_Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_WalmartLabsML_LogForecasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH_USACE_ERDC_SEIR,,,,,,12.0,36.0,84.0,19.0,51.0,58.0,41.0,170.0,52.0,60.0,67.0,61.0,52.0,,71.0,,89.0,,,164.0,146.0,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIkJaun1_hyper7,,,,,,19.0,37.0,9.0,16.0,39.0,30.0,37.0,159.0,14.0,5.0,57.0,6.0,32.0,40.0,4.0,79.0,29.0,43.0,38.0,115.0,9.0,118.0,86.0,26.0,91.0,15.0,51.0,110.0,140.0,65.0,88.0,,,,,,,,,,,,,,,,,,
SIkJaun1_hyper7_smooth7,,,,,,20.0,28.0,2.0,2.0,34.0,11.0,52.0,155.0,53.0,64.0,10.0,5.0,59.0,23.0,1.0,97.0,53.0,40.0,129.0,80.0,8.0,64.0,68.0,82.0,236.0,29.0,62.0,294.0,160.0,122.0,67.0,,,,,,,,,,,,,,,,,,
SIkJaun1_window_noval,,,,,,19.0,40.0,20.0,12.0,47.0,30.0,37.0,159.0,26.0,5.0,59.0,24.0,31.0,33.0,3.0,75.0,31.0,43.0,26.0,115.0,65.0,118.0,111.0,111.0,120.0,6.0,29.0,111.0,119.0,65.0,82.0,,,,,,,,,,,,,,,,,,
SIkJaun10_hyper7,,,,,,20.0,40.0,13.0,18.0,41.0,32.0,39.0,161.0,25.0,3.0,61.0,14.0,16.0,24.0,2.0,69.0,40.0,33.0,15.0,137.0,23.0,133.0,113.0,15.0,23.0,33.0,66.0,12.0,10.0,3.0,23.0,,,,,,,,,,,,,,,,,,
SIkJaun10_hyper7_smooth7,,,,,,21.0,31.0,1.0,5.0,34.0,21.0,58.0,163.0,46.0,66.0,5.0,3.0,43.0,9.0,1.0,93.0,34.0,43.0,88.0,107.0,44.0,90.0,78.0,33.0,100.0,25.0,79.0,40.0,6.0,8.0,25.0,,,,,,,,,,,,,,,,,,
SIkJaun10_window_noval,,,,,,20.0,41.0,21.0,13.0,49.0,32.0,39.0,160.0,27.0,3.0,61.0,26.0,24.0,24.0,3.0,69.0,37.0,36.0,15.0,132.0,94.0,136.0,134.0,69.0,41.0,47.0,79.0,42.0,1.0,3.0,23.0,,,,,,,,,,,,,,,,,,
UMich_RidgeTfReg,,,,17.0,19.0,36.0,51.0,37.0,40.0,41.0,15.0,9.0,106.0,28.0,43.0,7.0,73.0,79.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC_SI_kJalpha,,,,,,20.0,33.0,24.0,35.0,47.0,40.0,57.0,160.0,21.0,5.0,36.0,60.0,10.0,17.0,14.0,62.0,41.0,38.0,12.0,154.0,20.0,118.0,71.0,24.0,95.0,20.0,30.0,88.0,152.0,64.0,87.0,297.0,76.0,57.0,31.0,24.0,60.0,12.0,3.0,,4.0,3.0,6.0,12.0,9.0,11.0,12.0,3.0,9.0
USC_SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YYG_ParamSearch,,,,,,8.0,12.0,21.0,27.0,46.0,49.0,33.0,158.0,45.0,57.0,85.0,76.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIkJaun_Ensemble_NN,,,,,,,,,,,,,,,,,,33.0,12.0,24.0,24.0,46.0,19.0,49.0,124.0,157.0,17.0,140.0,100.0,11.0,92.0,2.0,84.0,146.0,,136.0,,,,,,,,,,,,,,,,,,
FH_KITmetricslab_select_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,
FH_MUNI_ARIMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,15.0,8.0,2.0
FH_MIT_Cassandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,19.0,9.0
